fname,id,context,question,answer
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1438,গর্ভধারণ পদ্ধতি | যৌনসঙ্গমের আগে  বিচার্য বিষয়,একটি ডিম্বাণু নিষিক্ত করতে শুধুমাত্র একটি শুক্রাণু দরকার হলে বাকী শুক্রাণুগুলো কোথায় যায়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1438, 'context': 'গর্ভধারণ পদ্ধতি | যৌনসঙ্গমের আগে  বিচার্য বিষয়', 'question': 'একটি ডিম্বাণু নিষিক্ত করতে শুধুমাত্র একটি শুক্রাণু দরকার হলে বাকী শুক্রাণুগুলো কোথায় যায়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1439,শিশুর  লিঙ্গ  নির্ধারণ | বন্ধ্যাত্ব,একটি শিশুর লিঙ্গ কীভাবে নির্ধারিত হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1439, 'context': 'শিশুর  লিঙ্গ  নির্ধারণ | বন্ধ্যাত্ব', 'question': 'একটি শিশুর লিঙ্গ কীভাবে নির্ধারিত হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1440,শিশুর  লিঙ্গ  নির্ধারণ | হরমোনের অসামঞ্জস্যতা,কোন দম্পতির শুধু ছেলে সন্তান অথবা শুধু মেয়ে সন্তান হলে সেটা কার জন্য হতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1440, 'context': 'শিশুর  লিঙ্গ  নির্ধারণ | হরমোনের অসামঞ্জস্যতা', 'question': 'কোন দম্পতির শুধু ছেলে সন্তান অথবা শুধু মেয়ে সন্তান হলে সেটা কার জন্য হতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1441,শিশুর  লিঙ্গ  নির্ধারণ | ফিমেল হাইপোগোনাডিজম,আমি কি ভাবে সন্তানের লিঙ্গ প্রভাবিত করতে পারি?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1441, 'context': 'শিশুর  লিঙ্গ  নির্ধারণ | ফিমেল হাইপোগোনাডিজম', 'question': 'আমি কি ভাবে সন্তানের লিঙ্গ প্রভাবিত করতে পারি?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1442,জমজ সন্তান | এন্ডোমেট্রিয়াল ক্যান্সার,জমজ সন্তান কীভাবে জন্ম নেয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1442, 'context': 'জমজ সন্তান | এন্ডোমেট্রিয়াল ক্যান্সার', 'question': 'জমজ সন্তান কীভাবে জন্ম নেয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1443,গর্ভধারণের  লক্ষণ | এন্ডোমেট্রিওসিস,গর্ভবতী হলে কি কি লক্ষণ দেখা যায়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1443, 'context': 'গর্ভধারণের  লক্ষণ | এন্ডোমেট্রিওসিস', 'question': 'গর্ভবতী হলে কি কি লক্ষণ দেখা যায়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1444,গর্ভধারণের  লক্ষণ | এন্ডোমেট্রিয়াল হাইপারপ্লাসিয়া,কোন পুরুষ কোন মহিলাকে গর্ভবতী করলে বুঝতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1444, 'context': 'গর্ভধারণের  লক্ষণ | এন্ডোমেট্রিয়াল হাইপারপ্লাসিয়া', 'question': 'কোন পুরুষ কোন মহিলাকে গর্ভবতী করলে বুঝতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1445,গর্ভধারণের  লক্ষণ | জরায়ুর মুখের ঘা,আমি যদি জানতে পারি যে আমি গর্ভবতী তবে আমার কি করা উচিত?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1445, 'context': 'গর্ভধারণের  লক্ষণ | জরায়ুর মুখের ঘা', 'question': 'আমি যদি জানতে পারি যে আমি গর্ভবতী তবে আমার কি করা উচিত?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1446,কম বয়সে গর্ভধারণ  | ব্যাকটেরিয়াল ভ্যাজাইনোসিস,কম বয়সে গর্ভবতী হলে কি কি পরিণতি হতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1446, 'context': 'কম বয়সে গর্ভধারণ  | ব্যাকটেরিয়াল ভ্যাজাইনোসিস', 'question': 'কম বয়সে গর্ভবতী হলে কি কি পরিণতি হতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1447,বেশী বয়সে  গর্ভধারণ  | জরায়ুর অস্বাভাবিক রক্তপাত,বয়স বেড়ে গেলে সন্তান নিতে কোন অসুবিধা হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1447, 'context': 'বেশী বয়সে  গর্ভধারণ  | জরায়ুর অস্বাভাবিক রক্তপাত', 'question': 'বয়স বেড়ে গেলে সন্তান নিতে কোন অসুবিধা হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1448,পুরুষের  বন্ধ্যাত্ব   | কম বয়সে মেনোপজ,একজন পুরুষের বন্ধ্যাত্বের কারণ কী?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1448, 'context': 'পুরুষের  বন্ধ্যাত্ব   | কম বয়সে মেনোপজ', 'question': 'একজন পুরুষের বন্ধ্যাত্বের কারণ কী?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1449,মহিলার বন্ধ্যাত্ব   | যৌন রোগ,একজন মহিলার বন্ধ্যাত্বের কারণ কী?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1449, 'context': 'মহিলার বন্ধ্যাত্ব   | যৌন রোগ', 'question': 'একজন মহিলার বন্ধ্যাত্বের কারণ কী?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1450,সন্তান জন্মদানে অক্ষমতা  |  দূষণ  ও পুরুষের   অনুর্বরতা,বিবাহিত দম্পতির যদি সন্তান না হয় তবে তারা কিভাবে জানতে পারবে যে এটি পুরুষ বা মহিলা কার দোষ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1450, 'context': 'সন্তান জন্মদানে অক্ষমতা  |  দূষণ  ও পুরুষের   অনুর্বরতা', 'question': 'বিবাহিত দম্পতির যদি সন্তান না হয় তবে তারা কিভাবে জানতে পারবে যে এটি পুরুষ বা মহিলা কার দোষ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1451,মহিলার বন্ধ্যাত্ব   | মায়ের মাসিকের সাথে ছেলের বয়ঃসন্ধিকালের সম্পর্ক,একজন মহিলার নিয়মিত মাসিক হওয়া সত্ত্বেও সে বন্ধ্যা হতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1451, 'context': 'মহিলার বন্ধ্যাত্ব   | মায়ের মাসিকের সাথে ছেলের বয়ঃসন্ধিকালের সম্পর্ক', 'question': 'একজন মহিলার নিয়মিত মাসিক হওয়া সত্ত্বেও সে বন্ধ্যা হতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1453,বন্ধ্যাত্ব | পেলভিক ব্যথা,বন্ধ্যাত্ব এড়াতে আমি কি কিছু করতে পারি?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1453, 'context': 'বন্ধ্যাত্ব | পেলভিক ব্যথা', 'question': 'বন্ধ্যাত্ব এড়াতে আমি কি কিছু করতে পারি?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1454,বন্ধ্যাত্ব | কনডম,বন্ধ্যাত্বের কোন চিকিৎসা আছে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1454, 'context': 'বন্ধ্যাত্ব | কনডম', 'question': 'বন্ধ্যাত্বের কোন চিকিৎসা আছে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1455,গর্ভপাতের নিরাপদ পদ্ধতি | যোনি ব্যথা,গর্ভপাতের কোন নিরাপদ পদ্ধতি আছে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1455, 'context': 'গর্ভপাতের নিরাপদ পদ্ধতি | যোনি ব্যথা', 'question': 'গর্ভপাতের কোন নিরাপদ পদ্ধতি আছে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1456,গর্ভ পাত | যৌন শিক্ষা এবং যৌন স্বাস্থ্য,কিছু মানুষ কেন গর্ভপাত করার সিদ্ধান্ত নেন?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1456, 'context': 'গর্ভ পাত | যৌন শিক্ষা এবং যৌন স্বাস্থ্য', 'question': 'কিছু মানুষ কেন গর্ভপাত করার সিদ্ধান্ত নেন?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1457,গর্ভ পাত |  মাসিকের ব্যাথা,কিছু ডিম্বাণু জরায়ুর পরিবর্তে ডিম্বনালীতে কেন স্থির হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1457, 'context': 'গর্ভ পাত |  মাসিকের ব্যাথা', 'question': 'কিছু ডিম্বাণু জরায়ুর পরিবর্তে ডিম্বনালীতে কেন স্থির হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1458,গর্ভ পাত | আর্লি মেনোপজ,গর্ভপাত কি কি কারণে হতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1458, 'context': 'গর্ভ পাত | আর্লি মেনোপজ', 'question': 'গর্ভপাত কি কি কারণে হতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1459,প্রতিবন্ধী সন্তানের জন্ম দেওয়ার কারণ | মেনোপজ,কোন মহিলা প্রতিবন্ধী সন্তানের জন্ম দেওয়ার কারণ গুলি কী কী?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1459, 'context': 'প্রতিবন্ধী সন্তানের জন্ম দেওয়ার কারণ | মেনোপজ', 'question': 'কোন মহিলা প্রতিবন্ধী সন্তানের জন্ম দেওয়ার কারণ গুলি কী কী?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1460,সুস্থ  সন্তান  জন্মদানের ঊপায় | প্রস্রাবের রাস্তার চুলকানি,কীভাবে একজন মহিলা একটি সুস্থ সন্তানের জন্ম দেওয়ার বিষয়ে নিশ্চিত হতে পারেন?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1460, 'context': 'সুস্থ  সন্তান  জন্মদানের ঊপায় | প্রস্রাবের রাস্তার চুলকানি', 'question': 'কীভাবে একজন মহিলা একটি সুস্থ সন্তানের জন্ম দেওয়ার বিষয়ে নিশ্চিত হতে পারেন?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1461,গর্ভধারণ পদ্ধতি | নারীদেহে পুরুষ হরমোন,যোনীর মুখে কামরস লাগলে কি প্রেগন্যান্ট হবে? নাকি ভিতরে প্রবেশ করতে হবে??,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1461, 'context': 'গর্ভধারণ পদ্ধতি | নারীদেহে পুরুষ হরমোন', 'question': 'যোনীর মুখে কামরস লাগলে কি প্রেগন্যান্ট হবে? নাকি ভিতরে প্রবেশ করতে হবে??'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1462,গর্ভধারণ পদ্ধতি | স্তন ক্যানসার,একজন নারী কীভাবে অন্তঃসত্ত্বা হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1462, 'context': 'গর্ভধারণ পদ্ধতি | স্তন ক্যানসার', 'question': 'একজন নারী কীভাবে অন্তঃসত্ত্বা হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1463,প্রসব বেদনা | নারীর মুখা গহ্বরে পরিবর্তন,সন্তান জন্মদান কি নারীদের জন্য যন্ত্রণাদায়ক?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1463, 'context': 'প্রসব বেদনা | নারীর মুখা গহ্বরে পরিবর্তন', 'question': 'সন্তান জন্মদান কি নারীদের জন্য যন্ত্রণাদায়ক?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1464,সন্তান জন্মদান  পদ্ধতি | নারীর প্রজননক্ষমতার সময়সীমা,নবজাতক কিভাবে পেট থেকে বের হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1464, 'context': 'সন্তান জন্মদান  পদ্ধতি | নারীর প্রজননক্ষমতার সময়সীমা', 'question': 'নবজাতক কিভাবে পেট থেকে বের হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1487,গর্ভবতীর অনিদ্রা | নারী-পুরুষের বন্ধ্যত্ব,অত্যন্ত ক্লান্ত অবস্থায়ও রাতে ঘুম না আসলে কি করা যায়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1487, 'context': 'গর্ভবতীর অনিদ্রা | নারী-পুরুষের বন্ধ্যত্ব', 'question': 'অত্যন্ত ক্লান্ত অবস্থায়ও রাতে ঘুম না আসলে কি করা যায়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1500,অনিয়মিত  মাসিক | কিশোর বয়সে পরিবর্তন,"অনিয়মিত মাসিকের কারণ কী, কীভাবে রেহাই পাবো?","{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1500, 'context': 'অনিয়মিত  মাসিক | কিশোর বয়সে পরিবর্তন', 'question': 'অনিয়মিত মাসিকের কারণ কী, কীভাবে রেহাই পাবো?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1502,মাসিকের পূর্বাভাস | কৈশোরকালীন সময়ে করণীয়,মাসিকের পূর্বাভাস কী?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1502, 'context': 'মাসিকের পূর্বাভাস | কৈশোরকালীন সময়ে করণীয়', 'question': 'মাসিকের পূর্বাভাস কী?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1503,মাসিক চলাকালীন করণীয় | সাদাস্রাব,ঘরের বাইরে থাকাকালীন অবস্থায় মাসিক শুরু হলে কী করণীয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1503, 'context': 'মাসিক চলাকালীন করণীয় | সাদাস্রাব', 'question': 'ঘরের বাইরে থাকাকালীন অবস্থায় মাসিক শুরু হলে কী করণীয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1504,অতিরিক্ত মাসিক | বয়ঃসন্ধি,কেন অতিরিক্ত  মাসিক হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1504, 'context': 'অতিরিক্ত মাসিক | বয়ঃসন্ধি', 'question': 'কেন অতিরিক্ত  মাসিক হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1505,মাাসিক এর সময় | কিশোর বয়সে সহবাস,মেয়েদের মাসিক কখন শুরু হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1505, 'context': 'মাাসিক এর সময় | কিশোর বয়সে সহবাস', 'question': 'মেয়েদের মাসিক কখন শুরু হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1506,মাসিক এর উপসর্গ | বয়ঃসন্ধিকালের  পরিবর্তন,মসিক শুরু হওয়ার আগ পর্যন্ত কি কি উপসর্গ দেখা দিতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1506, 'context': 'মাসিক এর উপসর্গ | বয়ঃসন্ধিকালের  পরিবর্তন', 'question': 'মসিক শুরু হওয়ার আগ পর্যন্ত কি কি উপসর্গ দেখা দিতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1507,অনিয়মিত  মাসিক | মাসিকের সময় কি করণীয়,অনিয়মিত মাসিকের চিকিৎসা কি?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1507, 'context': 'অনিয়মিত  মাসিক | মাসিকের সময় কি করণীয়', 'question': 'অনিয়মিত মাসিকের চিকিৎসা কি?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1508,মাসিক | প্রজননতন্ত্রের সংক্রমণ,মাসিক কি?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1508, 'context': 'মাসিক | প্রজননতন্ত্রের সংক্রমণ', 'question': 'মাসিক কি?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1509,মাসিক এর উপসর্গ |   গর্ভবতীর লক্ষন,মাসিকের সময় কি হয় ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1509, 'context': 'মাসিক এর উপসর্গ |   গর্ভবতীর লক্ষন', 'question': 'মাসিকের সময় কি হয় ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1510,মাসিক | কৈশোরকালীন পরিবর্তনসমূহ,মাসিকের সাথে গর্ভবতী হওয়ার সম্পর্ক কি ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1510, 'context': 'মাসিক | কৈশোরকালীন পরিবর্তনসমূহ', 'question': 'মাসিকের সাথে গর্ভবতী হওয়ার সম্পর্ক কি ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1511,মাসিক এর উপসর্গ |    প্রজনন্তন্ত্র,মাসিকের সময় দেহে কি পরিবর্তন হয় ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1511, 'context': 'মাসিক এর উপসর্গ |    প্রজনন্তন্ত্র', 'question': 'মাসিকের সময় দেহে কি পরিবর্তন হয় ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1533,পেনাইল   ফ্রাকচার  | জেন্ডার ও সেক্স,﻿পুরুষাঙ্গ কি ভেঙে যেতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1533, 'context': 'পেনাইল   ফ্রাকচার  | জেন্ডার ও সেক্স', 'question': '\ufeffপুরুষাঙ্গ কি ভেঙে যেতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1535,পুরুষের যৌন উত্তেজনা | ঋতুস্রাবকালীন সময়ে করনীয়,পুরুষদের রাতে কতবার পুরুষাঙ্গে উত্তেজনা আসতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1535, 'context': 'পুরুষের যৌন উত্তেজনা | ঋতুস্রাবকালীন সময়ে করনীয়', 'question': 'পুরুষদের রাতে কতবার পুরুষাঙ্গে উত্তেজনা আসতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1536,পুরুষাঙ্গের আকৃতি |   ব্রন,পায়ের আকৃতির সাথে পুরুষাঙ্গের আকৃতির সম্পর্ক কী?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1536, 'context': 'পুরুষাঙ্গের আকৃতি |   ব্রন', 'question': 'পায়ের আকৃতির সাথে পুরুষাঙ্গের আকৃতির সম্পর্ক কী?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1537,পুরুষাঙ্গের আকৃতি |  মাসিকের সময় পরিবর্তন,ছোট আকারের পুরুষাঙ্গ সুদৃঢ় হলে অনেক বেশি দীর্ঘ হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1537, 'context': 'পুরুষাঙ্গের আকৃতি |  মাসিকের সময় পরিবর্তন', 'question': 'ছোট আকারের পুরুষাঙ্গ সুদৃঢ় হলে অনেক বেশি দীর্ঘ হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1539,পুরুষাঙ্গের গঠন  |    সন্তান ধারন ও  বেড়ে ওঠা,পুরুষাঙ্গ কি দিয়ে তৈরি ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1539, 'context': 'পুরুষাঙ্গের গঠন  |    সন্তান ধারন ও  বেড়ে ওঠা', 'question': 'পুরুষাঙ্গ কি দিয়ে তৈরি ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1540,বীর্যপাত | Pathological Amenorrhoea,বীর্যপাতের সময় মুত্রত্যাগ করা যায় না কেন ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1540, 'context': 'বীর্যপাত | Pathological Amenorrhoea', 'question': 'বীর্যপাতের সময় মুত্রত্যাগ করা যায় না কেন ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1542,পুরুষাঙ্গের আকৃতি |   প্রজনন্তন্ত্র সংক্রান্ত তথ্য অধিকার,উত্তেজিত অবস্থায় পুরুষাঙ্গ কতটুকু লম্বা হয়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1542, 'context': 'পুরুষাঙ্গের আকৃতি |   প্রজনন্তন্ত্র সংক্রান্ত তথ্য অধিকার', 'question': 'উত্তেজিত অবস্থায় পুরুষাঙ্গ কতটুকু লম্বা হয়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1543,পুরুষাঙ্গের আকৃতি |  মাসিক এর  ব্যাথা,ছোট আকৃতির পুরুষাঙ্গ কেমন হয় ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1543, 'context': 'পুরুষাঙ্গের আকৃতি |  মাসিক এর  ব্যাথা', 'question': 'ছোট আকৃতির পুরুষাঙ্গ কেমন হয় ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1544,পুরুষাঙ্গের আকৃতি |   মাসিক,পুরুষাঙ্গ বাকা হলে কি করনীয় ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1544, 'context': 'পুরুষাঙ্গের আকৃতি |   মাসিক', 'question': 'পুরুষাঙ্গ বাকা হলে কি করনীয় ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1547,পুরুষাঙ্গের আকৃতি | পলিমেনোরিয়া,পুরুষাঙ্গ বড় হয় কোন বয়সে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1547, 'context': 'পুরুষাঙ্গের আকৃতি | পলিমেনোরিয়া', 'question': 'পুরুষাঙ্গ বড় হয় কোন বয়সে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1549,পুরুষাঙ্গের আকৃতি | ওলিগোমেনোরিয়া,উত্তেজিত অবস্থায় পুরুষাঙ্গ বেশি লম্বা না হলে কি করা যায়?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1549, 'context': 'পুরুষাঙ্গের আকৃতি | ওলিগোমেনোরিয়া', 'question': 'উত্তেজিত অবস্থায় পুরুষাঙ্গ বেশি লম্বা না হলে কি করা যায়?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1550,পুরুষাঙ্গের আকৃতি | বাল্যবিবাহ,"আমার পুরুষাঙ্গ কিছুটা মোটা, কোনরূপ যন্ত্রণা ছাড়া পুরুষাঙ্গ যোনিপথে কীভাবে প্রবেশ করাবো?","{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1550, 'context': 'পুরুষাঙ্গের আকৃতি | বাল্যবিবাহ', 'question': 'আমার পুরুষাঙ্গ কিছুটা মোটা, কোনরূপ যন্ত্রণা ছাড়া পুরুষাঙ্গ যোনিপথে কীভাবে প্রবেশ করাবো?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1551,পুরুষাঙ্গের আকৃতি | প্রজনন স্বাস্থ্য শিক্ষা ও সেবা কর্মসূচি,"যৌন সহবাসের জন্য যৌনাঙ্গ/পুরুষাঙ্গ কতটুকু লম্বা হতে হবে, এক ফুট, নাকি ২ ইঞ্চি?","{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1551, 'context': 'পুরুষাঙ্গের আকৃতি | প্রজনন স্বাস্থ্য শিক্ষা ও সেবা কর্মসূচি', 'question': 'যৌন সহবাসের জন্য যৌনাঙ্গ/পুরুষাঙ্গ কতটুকু লম্বা হতে হবে, এক ফুট, নাকি ২ ইঞ্চি?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1552,পুরুষাঙ্গের আকৃতি | স্বপ্নদোষ,পুরুষাঙ্গের আগা  মোটা কিন্তু গোঁড়া চিকন ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1552, 'context': 'পুরুষাঙ্গের আকৃতি | স্বপ্নদোষ', 'question': 'পুরুষাঙ্গের আগা  মোটা কিন্তু গোঁড়া চিকন ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1553,ইরেকটাইল  ডিসফাংশন  | ঋতুস্রাবের সময় খাবার,পুরুষাঙ্গ ঠিক মত উত্থিত হয় না এর কি কারন হতে পারে?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1553, 'context': 'ইরেকটাইল  ডিসফাংশন  | ঋতুস্রাবের সময় খাবার', 'question': 'পুরুষাঙ্গ ঠিক মত উত্থিত হয় না এর কি কারন হতে পারে?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1554,ইরেকটাইল  ডিসফাংশন  | কম বয়সে মেনোপজ,পুরুষাঙ্গ ঠিক মত শক্ত হয় না কারন কি ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1554, 'context': 'ইরেকটাইল  ডিসফাংশন  | কম বয়সে মেনোপজ', 'question': 'পুরুষাঙ্গ ঠিক মত শক্ত হয় না কারন কি ?'}"
Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx,1555,প্রস্রাবের সময় পুরুষাঙ্গে জালাপোড়া |  বয়ঃপ্রাপ্ত হবার সময়,প্রস্রাবের সময় পুরুষাঙ্গে জালাপোড়া করে কেন ?,"{'fname': 'Comprehensive sexual education-Dr Pronob.xlsx_Sheet1.docx', 'id': 1555, 'context': 'প্রস্রাবের সময় পুরুষাঙ্গে জালাপোড়া |  বয়ঃপ্রাপ্ত হবার সময়', 'question': 'প্রস্রাবের সময় পুরুষাঙ্গে জালাপোড়া করে কেন ?'}"
